Ef1beta
18-w
2-Sep
4EHP
5-HT1
5-HT2alpha
5-HT2beta
5-ht7
5-ht7
5-ht7
A4
ABC10
ABCB7
ABCC5
ABCG4
AChE-1
exba
AGLU-like2
AGLU2
AGLU3
AGO1
LOC550824
AIF
ALDH1L2
ALiX
ANAPC1
ANKRD50
AP-1sigma
AP-2
AP-50
APC7
APP-BP1
AQR
AST
ATF-3-like
ATM
ATP11B
ATP7
ATPCL
ATPsyn-Cf6
ATPsyn-d
Pdi
Aats-asp
Aats-gln
Aats-glupro
porin
LOC724793
Cct5
Aats-met
Aats-phe
Aats-ser
Aats-trp
Aats-tyr
Aats-val
Abd-A
Abd-B
LOC408304
Abscam
Ac3
LOC409866
LOC551893
Acph-1
Actn
Ada
Adam
14-3-3epsilon
Adk1
Adk2
Adk3
AdoR
LOC408520
Ak6
Akhr
Akt1
Aldh
Aldh-III
AlkB
Alr
Amci
Amih
Amph
Ank
Ank-1
Ant
Antp
LOC552515
Apamin
Apd-1
Apd-2
Apd-3
Apf
Apid1
Apid73
Aplip1
Appl
Aprt
Aps
Arc-p34
Arc42
Ard1
Argk
Arp1
Arp11
Arp5
Arp8
Arpc3A
Arpc4
Arr1
Arr2
Arr3
ArrL1
ArrL2
ArrL3
ArrL4
Art1
Aats-lys
Art8
Rpn9
Ate1
Atf6
Atg1
Atg13
Atg2
Atg4
Atg5
Atg6
Atg8a
Atg9
Atp5a1
Atp5b
Atp5c1
Atp5d
Atp5i
LOC552294
LOC409417
Awh
pontin
B-gluc1
B-gluc2
B52
BBIP1
BHD
BM-40-SPARC
LOC410710
eIF-3p66
BTBD9
LOC413486
Bap55
BaxI1
Bcas2
Best2
Bet3
Bgb
LOC551775
BicD
Bili
Bka
Blop
Br-c
Pros26.4
LOC551944
Bsg
Bub3
Burs
LOC408900
Bzd
C1q-VP
CAH1
Hsc70-5
CAPN7
CBP
CCAPR
CCE-I1
CCS
LOC408708
CDase
LOC725115
CLCN7
LOC410403
CPF1
CPF2
CPR12
CPR13
CPR14
CPR15
CPR17
CPR19
CPR2
CPR20
CPR21
CPR22
CPR23
CPR24
CPR25
CPR26
CPR27
CPR28
CPR3
CPR4
CPR5
CPR7
CPR9
CPTI
CREG
CSN3
LOC409086
CSN5
CSP1
CSP2
CSP3
CSP4
CSP6
CT-SOD
CTL1
CTL11
CTL12
CTL2
CTL3
CTL4
CTL5
LOC551331
CTL7
CTL8
LOC409066
CUBN
CYLD
CYP15A1
CYP18A1
CYP301A1
CYP302A1
CYP303A1
CYP305D1
CYP306A1
CYP307B1
CYP315A1
CYP334A1
CYP342A1
CYP343A1
CYP49A1
CYP4AV1
CYP4AZ1
CYP6AQ1
CYP6AR1
CYP6AS1
CYP6AS10
CYP6AS11
CYP6AS13
CYP6AS15
CYP6AS17
CYP6AS2
CYP6AS3
CYP6AS4
CYP6AS7
CYP6AS8
CYP6BC1
CYP6BD1
CYP6BE1
CYP9Q1
CYP9Q2
CYP9Q3
CYP9R1
CYP9S1
mRpL16
Ca3
CaMKI
Srp68
Cad
Cad99C-like
CadN
hyd
Caf1-105
CalpC
Calpb
Calx
LOC725609
Camta
LOC408548
Caps
Cas
Cat
Cat
Catsup
Cbp80
Cbs
Ccap
Ccar1
LOC409486
Mcm5
Cda4
Cda5
Cdc27
LOC408591
Pli
Cdk4
Cdk5
Cdk5alpha
LOC552458
Cdk9
CdsA
Ced-12
rump
Cetn2
LOC412221
Chd1
Chd64
LOC550689
Cht11
Cht3
Cht5
Ci
Ciao1
Psn
CkIIbeta
LOC409456
Clc
Clic
Clk
Clp
LOC726957
Cog3
Cog7
Con
Coq2
Coq7
Cox10
Cox4I1
Cox5a
Cox5b
Cox6a1
Cox6b1
Cox6c
ebi
Cpap3-a
Cpap3-b
Cpap3-c
Cpap3-d
Cpap3-e
Cdc42
Cpsf160
Cralbp
Crc
Creb
Cript
Cry2
Cryl1
Crz
Crzr
Csat
Csd
Csk
LOC412593
Csp
CstF-64
CtBP
Cwc25
Cyc
Cyc1
IPO7
CycC
CycD
LOC412460
LOC724123
CycH
LOC726620
CycT
Mhc2
Cyp4g11
Cyp6as5
CytC
LOC414039
lqf
DDX17
DEG2
DEG4
DEG5
DEG6
DEPDC5
DHX35
DIP2
DLC-A
DLC-B
DLC-D
DMAP1
DNAH1
DNAH2
DNAH3
DNAH5
DNAH7
DNApol-alpha50
LOC552114
DNApol-alpha73
Ipo9
DNApol-epsilon
DNApol-eta
LOC409961
DNaseII
Dab
Dad
Dap160
Dat
Dat
Dbp80
LOC409560
Dcp2
Dcr-1
LOC725076
Dctn2
Dctn3
Dctn4
Dctn5
Dctn6
Ddc
LOC409894
LOC551275
DebB
Def1
Det
Dfd
Dg
Dgk
Dgk-epsilon
Dh31-R1
Dhap-at
Dhc64C-like
Dhfr
Dhpr
Dic
Dip-C
Dl
Dl
Dl-2
Dlic
Dll
Dnmt1.1
Dnmt1a
Dnmt2
Dnmt3
Dnt
Dop1
Dop3
DopEcR
DopR2
LOC408417
Dpck
Dph5
Dpit47
Drep-1
Drep-2
Drl2
LOC412708
Trx1-like3
Dscam
Dsor1
Dsp1
Dspp
Dsx
Duox
Dyb
LOC412150
Aut1
Trx/Gtx
LOC410895
E75
LOC410811
Ef-1a-f1
casp
ERp60
Eaat-2
Eaat-3
Eaat-4
Eaat-5
Echs1
LOC552332
Ect4
Edem1
Edem2
Ef-1a-f1
LOC725961
Eg
Eh
LOC725492
EloA
Elongin-B
Elongin-C
Emc
En
Ent1
Ent2
Ent3
EphR
tna
Ercc1
Ero1L
Uch-L3
Est-6
Esyt2
Etfdh
Eth
Ethr
Ets97D-like
Exn
Exp6
Ext2
Eyg
LOC726814
FATP
FBN2
FIG4
Taf11
FK506-bp2
PCID2
FR
Faa
Fabp
Fabp
Faf
Fas1
Fas3
Fbxl4
Fdh
Fdxh
Fem
LOC411359
Fer1HCH
Fer2LCH
Fer3HCH
Fib
Fibp
Fibroin1
Fibroin2
Fibroin3
Fibroin4
Fim
Cctgamma
